$Id: no_memory_minors.txt,v 1.2 1999/07/23 14:43:42 spreitze Exp $
    minor code       --- size range
decimal(hexadecimal) ---  decimal
-----------------------------------
1229718103(494c0257) --- [7366255 .. 7527554].
1229718104(494c0258) --- [7527555 .. 7692386].
1229718105(494c0259) --- [7692387 .. 7860827].
1229718106(494c025a) --- [7860828 .. 8032957].
1229718107(494c025b) --- [8032958 .. 8208856].
1229718108(494c025c) --- [8208857 .. 8388607].
1229718109(494c025d) --- [8388608 .. 8572293].
1229718110(494c025e) --- [8572294 .. 8760002].
1229718111(494c025f) --- [8760003 .. 8951821].
1229718112(494c0260) --- [8951822 .. 9147840].
1229718113(494c0261) --- [9147841 .. 9348152].
1229718114(494c0262) --- [9348153 .. 9552850].
1229718115(494c0263) --- [9552851 .. 9762030].
1229718116(494c0264) --- [9762031 .. 9975791].
1229718117(494c0265) --- [9975792 .. 10194232].
1229718118(494c0266) --- [10194233 .. 10417457].
1229718119(494c0267) --- [10417458 .. 10645570].
1229718120(494c0268) --- [10645571 .. 10878677].
1229718121(494c0269) --- [10878678 .. 11116889].
1229718122(494c026a) --- [11116890 .. 11360317].
1229718123(494c026b) --- [11360318 .. 11609076].
1229718124(494c026c) --- [11609077 .. 11863282].
1229718125(494c026d) --- [11863283 .. 12123054].
1229718126(494c026e) --- [12123055 .. 12388514].
1229718127(494c026f) --- [12388515 .. 12659787].
1229718128(494c0270) --- [12659788 .. 12937001].
1229718129(494c0271) --- [12937002 .. 13220284].
1229718130(494c0272) --- [13220285 .. 13509771].
1229718131(494c0273) --- [13509772 .. 13805596].
1229718132(494c0274) --- [13805597 .. 14107899].
1229718133(494c0275) --- [14107900 .. 14416822].
1229718134(494c0276) --- [14416823 .. 14732509].
1229718135(494c0277) --- [14732510 .. 15055109].
1229718136(494c0278) --- [15055110 .. 15384773].
1229718137(494c0279) --- [15384774 .. 15721656].
1229718138(494c027a) --- [15721657 .. 16065916].
1229718139(494c027b) --- [16065917 .. 16417713].
1229718140(494c027c) --- [16417714 .. 16777215].
1229718141(494c027d) --- [16777216 .. 17144587].
1229718142(494c027e) --- [17144588 .. 17520005].
1229718143(494c027f) --- [17520006 .. 17903643].
1229718144(494c0280) --- [17903644 .. 18295683].
1229718145(494c0281) --- [18295684 .. 18696307].
1229718146(494c0282) --- [18696308 .. 19105701].
1229718147(494c0283) --- [19105702 .. 19524063].
1229718148(494c0284) --- [19524064 .. 19951583].
1229718149(494c0285) --- [19951584 .. 20388467].
1229718150(494c0286) --- [20388468 .. 20834915].
1229718151(494c0287) --- [20834916 .. 21291141].
1229718152(494c0288) --- [21291142 .. 21757355].
1229718153(494c0289) --- [21757356 .. 22233779].
1229718154(494c028a) --- [22233780 .. 22720635].
1229718155(494c028b) --- [22720636 .. 23218155].
1229718156(494c028c) --- [23218156 .. 23726565].
1229718157(494c028d) --- [23726566 .. 24246109].
1229718158(494c028e) --- [24246110 .. 24777031].
1229718159(494c028f) --- [24777032 .. 25319575].
1229718160(494c0290) --- [25319576 .. 25874003].
1229718161(494c0291) --- [25874004 .. 26440571].
1229718162(494c0292) --- [26440572 .. 27019543].
1229718163(494c0293) --- [27019544 .. 27611195].
1229718164(494c0294) --- [27611196 .. 28215799].
1229718165(494c0295) --- [28215800 .. 28833647].
1229718166(494c0296) --- [28833648 .. 29465019].
1229718167(494c0297) --- [29465020 .. 30110219].
1229718168(494c0298) --- [30110220 .. 30769547].
1229718169(494c0299) --- [30769548 .. 31443315].
1229718170(494c029a) --- [31443316 .. 32131833].
1229718171(494c029b) --- [32131834 .. 32835427].
1229718172(494c029c) --- [32835428 .. 33554431].
1229718173(494c029d) --- [33554432 .. 34289175].
1229718174(494c029e) --- [34289176 .. 35040011].
1229718175(494c029f) --- [35040012 .. 35807287].
1229718176(494c02a0) --- [35807288 .. 36591367].
1229718177(494c02a1) --- [36591368 .. 37392615].
1229718178(494c02a2) --- [37392616 .. 38211403].
1229718179(494c02a3) --- [38211404 .. 39048127].
1229718180(494c02a4) --- [39048128 .. 39903167].
1229718181(494c02a5) --- [39903168 .. 40776935].
1229718182(494c02a6) --- [40776936 .. 41669831].
1229718183(494c02a7) --- [41669832 .. 42582283].
1229718184(494c02a8) --- [42582284 .. 43514711].
1229718185(494c02a9) --- [43514712 .. 44467559].
1229718186(494c02aa) --- [44467560 .. 45441275].
1229718187(494c02ab) --- [45441276 .. 46436311].
1229718188(494c02ac) --- [46436312 .. 47453131].
1229718189(494c02ad) --- [47453132 .. 48492219].
1229718190(494c02ae) --- [48492220 .. 49554063].
1229718191(494c02af) --- [49554064 .. 50639155].
1229718192(494c02b0) --- [50639156 .. 51748007].
1229718193(494c02b1) --- [51748008 .. 52881143].
1229718194(494c02b2) --- [52881144 .. 54039087].
1229718195(494c02b3) --- [54039088 .. 55222391].
1229718196(494c02b4) --- [55222392 .. 56431603].
1229718197(494c02b5) --- [56431604 .. 57667295].
1229718198(494c02b6) --- [57667296 .. 58930043].
1229718199(494c02b7) --- [58930044 .. 60220443].
1229718200(494c02b8) --- [60220444 .. 61539099].
1229718201(494c02b9) --- [61539100 .. 62886631].
1229718202(494c02ba) --- [62886632 .. 64263667].
1229718203(494c02bb) --- [64263668 .. 65670859].
1229718204(494c02bc) --- [65670860 .. 67108863].
1229718205(494c02bd) --- [67108864 .. 68578351].
1229718206(494c02be) --- [68578352 .. 70080023].
1229718207(494c02bf) --- [70080024 .. 71614575].
1229718208(494c02c0) --- [71614576 .. 73182735].
1229718209(494c02c1) --- [73182736 .. 74785231].
1229718210(494c02c2) --- [74785232 .. 76422807].
1229718211(494c02c3) --- [76422808 .. 78096255].
1229718212(494c02c4) --- [78096256 .. 79806335].
1229718213(494c02c5) --- [79806336 .. 81553871].
1229718214(494c02c6) --- [81553872 .. 83339663].
1229718215(494c02c7) --- [83339664 .. 85164567].
1229718216(494c02c8) --- [85164568 .. 87029431].
1229718217(494c02c9) --- [87029432 .. 88935127].
1229718218(494c02ca) --- [88935128 .. 90882551].
1229718219(494c02cb) --- [90882552 .. 92872623].
1229718220(494c02cc) --- [92872624 .. 94906263].
1229718221(494c02cd) --- [94906264 .. 96984439].
1229718222(494c02ce) --- [96984440 .. 99108127].
1229718223(494c02cf) --- [99108128 .. 101278311].
1229718224(494c02d0) --- [101278312 .. 103496015].
1229718225(494c02d1) --- [103496016 .. 105762287].
1229718226(494c02d2) --- [105762288 .. 108078175].
1229718227(494c02d3) --- [108078176 .. 110444783].
1229718228(494c02d4) --- [110444784 .. 112863207].
1229718229(494c02d5) --- [112863208 .. 115334591].
1229718230(494c02d6) --- [115334592 .. 117860087].
1229718231(494c02d7) --- [117860088 .. 120440887].
1229718232(494c02d8) --- [120440888 .. 123078199].
1229718233(494c02d9) --- [123078200 .. 125773263].
1229718234(494c02da) --- [125773264 .. 128527335].
1229718235(494c02db) --- [128527336 .. 131341719].
1229718236(494c02dc) --- [131341720 .. 134217727].
1229718237(494c02dd) --- [134217728 .. 137156719].
1229718238(494c02de) --- [137156720 .. 140160047].
1229718239(494c02df) --- [140160048 .. 143229151].
1229718240(494c02e0) --- [143229152 .. 146365471].
1229718241(494c02e1) --- [146365472 .. 149570463].
1229718242(494c02e2) --- [149570464 .. 152845615].
1229718243(494c02e3) --- [152845616 .. 156192511].
1229718244(494c02e4) --- [156192512 .. 159612671].
1229718245(494c02e5) --- [159612672 .. 163107743].
1229718246(494c02e6) --- [163107744 .. 166679327].
1229718247(494c02e7) --- [166679328 .. 170329135].
1229718248(494c02e8) --- [170329136 .. 174058863].
1229718249(494c02e9) --- [174058864 .. 177870255].
1229718250(494c02ea) --- [177870256 .. 181765103].
1229718251(494c02eb) --- [181765104 .. 185745247].
1229718252(494c02ec) --- [185745248 .. 189812527].
1229718253(494c02ed) --- [189812528 .. 193968879].
1229718254(494c02ee) --- [193968880 .. 198216255].
1229718255(494c02ef) --- [198216256 .. 202556623].
1229718256(494c02f0) --- [202556624 .. 206992031].
1229718257(494c02f1) --- [206992032 .. 211524575].
1229718258(494c02f2) --- [211524576 .. 216156351].
1229718259(494c02f3) --- [216156352 .. 220889567].
1229718260(494c02f4) --- [220889568 .. 225726415].
1229718261(494c02f5) --- [225726416 .. 230669183].
1229718262(494c02f6) --- [230669184 .. 235720175].
1229718263(494c02f7) --- [235720176 .. 240881775].
1229718264(494c02f8) --- [240881776 .. 246156399].
1229718265(494c02f9) --- [246156400 .. 251546527].
1229718266(494c02fa) --- [251546528 .. 257054671].
1229718267(494c02fb) --- [257054672 .. 262683439].
1229718268(494c02fc) --- [262683440 .. 268435455].
1229718269(494c02fd) --- [268435456 .. 274313439].
1229718270(494c02fe) --- [274313440 .. 280320095].
1229718271(494c02ff) --- [280320096 .. 286458303].
1229718272(494c0300) --- [286458304 .. 292730943].
1229718273(494c0301) --- [292730944 .. 299140927].
1229718274(494c0302) --- [299140928 .. 305691231].
1229718275(494c0303) --- [305691232 .. 312385023].
1229718276(494c0304) --- [312385024 .. 319225343].
1229718277(494c0305) --- [319225344 .. 326215487].
1229718278(494c0306) --- [326215488 .. 333358655].
1229718279(494c0307) --- [333358656 .. 340658271].
1229718280(494c0308) --- [340658272 .. 348117727].
1229718281(494c0309) --- [348117728 .. 355740511].
1229718282(494c030a) --- [355740512 .. 363530207].
1229718283(494c030b) --- [363530208 .. 371490495].
1229718284(494c030c) --- [371490496 .. 379625055].
1229718285(494c030d) --- [379625056 .. 387937759].
1229718286(494c030e) --- [387937760 .. 396432511].
1229718287(494c030f) --- [396432512 .. 405113247].
1229718288(494c0310) --- [405113248 .. 413984063].
1229718289(494c0311) --- [413984064 .. 423049151].
1229718290(494c0312) --- [423049152 .. 432312703].
1229718291(494c0313) --- [432312704 .. 441779135].
1229718292(494c0314) --- [441779136 .. 451452831].
1229718293(494c0315) --- [451452832 .. 461338367].
1229718294(494c0316) --- [461338368 .. 471440351].
1229718295(494c0317) --- [471440352 .. 481763551].
1229718296(494c0318) --- [481763552 .. 492312799].
1229718297(494c0319) --- [492312800 .. 503093055].
1229718298(494c031a) --- [503093056 .. 514109343].
1229718299(494c031b) --- [514109344 .. 525366879].
1229718300(494c031c) --- [525366880 .. 536870911].
1229718301(494c031d) --- [536870912 .. 548626879].
1229718302(494c031e) --- [548626880 .. 560640191].
1229718303(494c031f) --- [560640192 .. 572916607].
1229718304(494c0320) --- [572916608 .. 585461887].
1229718305(494c0321) --- [585461888 .. 598281855].
1229718306(494c0322) --- [598281856 .. 611382463].
1229718307(494c0323) --- [611382464 .. 624770047].
1229718308(494c0324) --- [624770048 .. 638450687].
1229718309(494c0325) --- [638450688 .. 652430975].
1229718310(494c0326) --- [652430976 .. 666717311].
1229718311(494c0327) --- [666717312 .. 681316543].
1229718312(494c0328) --- [681316544 .. 696235455].
1229718313(494c0329) --- [696235456 .. 711481023].
1229718314(494c032a) --- [711481024 .. 727060415].
1229718315(494c032b) --- [727060416 .. 742980991].
1229718316(494c032c) --- [742980992 .. 759250111].
1229718317(494c032d) --- [759250112 .. 775875519].
1229718318(494c032e) --- [775875520 .. 792865023].
1229718319(494c032f) --- [792865024 .. 810226495].
1229718320(494c0330) --- [810226496 .. 827968127].
1229718321(494c0331) --- [827968128 .. 846098303].
1229718322(494c0332) --- [846098304 .. 864625407].
1229718323(494c0333) --- [864625408 .. 883558271].
1229718324(494c0334) --- [883558272 .. 902905663].
1229718325(494c0335) --- [902905664 .. 922676735].
1229718326(494c0336) --- [922676736 .. 942880703].
1229718327(494c0337) --- [942880704 .. 963527103].
1229718328(494c0338) --- [963527104 .. 984625599].
1229718329(494c0339) --- [984625600 .. 1006186111].
1229718330(494c033a) --- [1006186112 .. 1028218687].
1229718331(494c033b) --- [1028218688 .. 1050733759].
1229718332(494c033c) --- [1050733760 .. 1073741823].
1229718333(494c033d) --- [1073741824 .. 1097253759].
1229718334(494c033e) --- [1097253760 .. 1121280383].
1229718335(494c033f) --- [1121280384 .. 1145833215].
1229718336(494c0340) --- [1145833216 .. 1170923775].
1229718337(494c0341) --- [1170923776 .. 1196563711].
1229718338(494c0342) --- [1196563712 .. 1222764927].
1229718339(494c0343) --- [1222764928 .. 1249540095].
1229718340(494c0344) --- [1249540096 .. 1276901375].
1229718341(494c0345) --- [1276901376 .. 1304861951].
1229718342(494c0346) --- [1304861952 .. 1333434623].
1229718343(494c0347) --- [1333434624 .. 1362633087].
1229718344(494c0348) --- [1362633088 .. 1392470911].
1229718345(494c0349) --- [1392470912 .. 1422962047].
1229718346(494c034a) --- [1422962048 .. 1454120831].
1229718347(494c034b) --- [1454120832 .. 1485961983].
1229718348(494c034c) --- [1485961984 .. 1518500223].
1229718349(494c034d) --- [1518500224 .. 1551751039].
1229718350(494c034e) --- [1551751040 .. 1585730047].
1229718351(494c034f) --- [1585730048 .. 1620452991].
1229718352(494c0350) --- [1620452992 .. 1655936255].
1229718353(494c0351) --- [1655936256 .. 1692196607].
1229718354(494c0352) --- [1692196608 .. 1729250815].
1229718355(494c0353) --- [1729250816 .. 1767116543].
1229718356(494c0354) --- [1767116544 .. 1805811327].
1229718357(494c0355) --- [1805811328 .. 1845353471].
1229718358(494c0356) --- [1845353472 .. 1885761407].
1229718359(494c0357) --- [1885761408 .. 1927054207].
1229718360(494c0358) --- [1927054208 .. 1969251199].
1229718361(494c0359) --- [1969251200 .. 2012372223].
1229718362(494c035a) --- [2012372224 .. 2056437375].
1229718363(494c035b) --- [2056437376 .. 2101467519].
1229718364(494c035c) --- [2101467520 .. 2147483647].
1229718365(494c035d) --- [2147483648 .. 2194507519].
1229718366(494c035e) --- [2194507520 .. 2242560767].
1229718367(494c035f) --- [2242560768 .. 2291666431].
1229718368(494c0360) --- [2291666432 .. 2341847551].
1229718369(494c0361) --- [2341847552 .. 2393127423].
1229718370(494c0362) --- [2393127424 .. 2445529855].
1229718371(494c0363) --- [2445529856 .. 2499080191].
1229718372(494c0364) --- [2499080192 .. 2553802751].
1229718373(494c0365) --- [2553802752 .. 2609723903].
1229718374(494c0366) --- [2609723904 .. 2666869247].
1229718375(494c0367) --- [2666869248 .. 2725266175].
1229718376(494c0368) --- [2725266176 .. 2784941823].
1229718377(494c0369) --- [2784941824 .. 2845924095].
1229718378(494c036a) --- [2845924096 .. 2908241663].
1229718379(494c036b) --- [2908241664 .. 2971923967].
1229718380(494c036c) --- [2971923968 .. 3037000447].
1229718381(494c036d) --- [3037000448 .. 3103502079].
1229718382(494c036e) --- [3103502080 .. 3171460095].
1229718383(494c036f) --- [3171460096 .. 3240905983].
1229718384(494c0370) --- [3240905984 .. 3311872511].
1229718385(494c0371) --- [3311872512 .. 3384393215].
1229718386(494c0372) --- [3384393216 .. 3458501631].
1229718387(494c0373) --- [3458501632 .. 3534233087].
1229718388(494c0374) --- [3534233088 .. 3611622655].
1229718389(494c0375) --- [3611622656 .. 3690706943].
1229718390(494c0376) --- [3690706944 .. 3771522815].
1229718391(494c0377) --- [3771522816 .. 3854108415].
1229718392(494c0378) --- [3854108416 .. 3938502399].
1229718393(494c0379) --- [3938502400 .. 4024744447].
1229718394(494c037a) --- [4024744448 .. 4112874751].
1229718395(494c037b) --- [4112874752 .. 4202935039].
1229718396(494c037c) --- [4202935040 .. 4294967294].
1229718397(494c037d) --- [4294967295 .. 4294967295].
