$Id: no_memory_minors.txt,v 1.2 1999/07/23 14:43:42 spreitze Exp $
    minor code       --- size range
decimal(hexadecimal) ---  decimal
-----------------------------------
1229717652(494c0094) --- [421 .. 429].
1229717653(494c0095) --- [430 .. 438].
1229717654(494c0096) --- [439 .. 448].
1229717655(494c0097) --- [449 .. 458].
1229717656(494c0098) --- [459 .. 468].
1229717657(494c0099) --- [469 .. 478].
1229717658(494c009a) --- [479 .. 489].
1229717659(494c009b) --- [490 .. 500].
1229717660(494c009c) --- [501 .. 511].
1229717661(494c009d) --- [512 .. 522].
1229717662(494c009e) --- [523 .. 533].
1229717663(494c009f) --- [534 .. 545].
1229717664(494c00a0) --- [546 .. 557].
1229717665(494c00a1) --- [558 .. 569].
1229717666(494c00a2) --- [570 .. 582].
1229717667(494c00a3) --- [583 .. 594].
1229717668(494c00a4) --- [595 .. 607].
1229717669(494c00a5) --- [608 .. 621].
1229717670(494c00a6) --- [622 .. 634].
1229717671(494c00a7) --- [635 .. 648].
1229717672(494c00a8) --- [649 .. 662].
1229717673(494c00a9) --- [663 .. 677].
1229717674(494c00aa) --- [678 .. 692].
1229717675(494c00ab) --- [693 .. 707].
1229717676(494c00ac) --- [708 .. 723].
1229717677(494c00ad) --- [724 .. 738].
1229717678(494c00ae) --- [739 .. 755].
1229717679(494c00af) --- [756 .. 771].
1229717680(494c00b0) --- [772 .. 788].
1229717681(494c00b1) --- [789 .. 805].
1229717682(494c00b2) --- [806 .. 823].
1229717683(494c00b3) --- [824 .. 841].
1229717684(494c00b4) --- [842 .. 860].
1229717685(494c00b5) --- [861 .. 878].
1229717686(494c00b6) --- [879 .. 898].
1229717687(494c00b7) --- [899 .. 917].
1229717688(494c00b8) --- [918 .. 938].
1229717689(494c00b9) --- [939 .. 958].
1229717690(494c00ba) --- [959 .. 979].
1229717691(494c00bb) --- [980 .. 1001].
1229717692(494c00bc) --- [1002 .. 1023].
1229717693(494c00bd) --- [1024 .. 1045].
1229717694(494c00be) --- [1046 .. 1068].
1229717695(494c00bf) --- [1069 .. 1091].
1229717696(494c00c0) --- [1092 .. 1115].
1229717697(494c00c1) --- [1116 .. 1140].
1229717698(494c00c2) --- [1141 .. 1165].
1229717699(494c00c3) --- [1166 .. 1190].
1229717700(494c00c4) --- [1191 .. 1216].
1229717701(494c00c5) --- [1217 .. 1243].
1229717702(494c00c6) --- [1244 .. 1270].
1229717703(494c00c7) --- [1271 .. 1298].
1229717704(494c00c8) --- [1299 .. 1326].
1229717705(494c00c9) --- [1327 .. 1356].
1229717706(494c00ca) --- [1357 .. 1385].
1229717707(494c00cb) --- [1386 .. 1416].
1229717708(494c00cc) --- [1417 .. 1447].
1229717709(494c00cd) --- [1448 .. 1478].
1229717710(494c00ce) --- [1479 .. 1511].
1229717711(494c00cf) --- [1512 .. 1544].
1229717712(494c00d0) --- [1545 .. 1578].
1229717713(494c00d1) --- [1579 .. 1612].
1229717714(494c00d2) --- [1613 .. 1648].
1229717715(494c00d3) --- [1649 .. 1684].
1229717716(494c00d4) --- [1685 .. 1721].
1229717717(494c00d5) --- [1722 .. 1758].
1229717718(494c00d6) --- [1759 .. 1797].
1229717719(494c00d7) --- [1798 .. 1836].
1229717720(494c00d8) --- [1837 .. 1877].
1229717721(494c00d9) --- [1878 .. 1918].
1229717722(494c00da) --- [1919 .. 1960].
1229717723(494c00db) --- [1961 .. 2003].
1229717724(494c00dc) --- [2004 .. 2047].
1229717725(494c00dd) --- [2048 .. 2091].
1229717726(494c00de) --- [2092 .. 2137].
1229717727(494c00df) --- [2138 .. 2184].
1229717728(494c00e0) --- [2185 .. 2232].
1229717729(494c00e1) --- [2233 .. 2281].
1229717730(494c00e2) --- [2282 .. 2331].
1229717731(494c00e3) --- [2332 .. 2382].
1229717732(494c00e4) --- [2383 .. 2434].
1229717733(494c00e5) --- [2435 .. 2487].
1229717734(494c00e6) --- [2488 .. 2542].
1229717735(494c00e7) --- [2543 .. 2598].
1229717736(494c00e8) --- [2599 .. 2654].
1229717737(494c00e9) --- [2655 .. 2713].
1229717738(494c00ea) --- [2714 .. 2772].
1229717739(494c00eb) --- [2773 .. 2833].
1229717740(494c00ec) --- [2834 .. 2895].
1229717741(494c00ed) --- [2896 .. 2958].
1229717742(494c00ee) --- [2959 .. 3023].
1229717743(494c00ef) --- [3024 .. 3089].
1229717744(494c00f0) --- [3090 .. 3157].
1229717745(494c00f1) --- [3158 .. 3226].
1229717746(494c00f2) --- [3227 .. 3297].
1229717747(494c00f3) --- [3298 .. 3369].
1229717748(494c00f4) --- [3370 .. 3443].
1229717749(494c00f5) --- [3444 .. 3518].
1229717750(494c00f6) --- [3519 .. 3595].
1229717751(494c00f7) --- [3596 .. 3674].
1229717752(494c00f8) --- [3675 .. 3755].
1229717753(494c00f9) --- [3756 .. 3837].
1229717754(494c00fa) --- [3838 .. 3921].
1229717755(494c00fb) --- [3922 .. 4007].
1229717756(494c00fc) --- [4008 .. 4095].
1229717757(494c00fd) --- [4096 .. 4184].
1229717758(494c00fe) --- [4185 .. 4276].
1229717759(494c00ff) --- [4277 .. 4370].
1229717760(494c0100) --- [4371 .. 4465].
1229717761(494c0101) --- [4466 .. 4563].
1229717762(494c0102) --- [4564 .. 4663].
1229717763(494c0103) --- [4664 .. 4765].
1229717764(494c0104) --- [4766 .. 4869].
1229717765(494c0105) --- [4870 .. 4976].
1229717766(494c0106) --- [4977 .. 5085].
1229717767(494c0107) --- [5086 .. 5197].
1229717768(494c0108) --- [5198 .. 5310].
1229717769(494c0109) --- [5311 .. 5427].
1229717770(494c010a) --- [5428 .. 5546].
1229717771(494c010b) --- [5547 .. 5667].
1229717772(494c010c) --- [5668 .. 5791].
1229717773(494c010d) --- [5792 .. 5918].
1229717774(494c010e) --- [5919 .. 6048].
1229717775(494c010f) --- [6049 .. 6180].
1229717776(494c0110) --- [6181 .. 6315].
1229717777(494c0111) --- [6316 .. 6454].
1229717778(494c0112) --- [6455 .. 6595].
1229717779(494c0113) --- [6596 .. 6740].
1229717780(494c0114) --- [6741 .. 6887].
1229717781(494c0115) --- [6888 .. 7038].
1229717782(494c0116) --- [7039 .. 7192].
1229717783(494c0117) --- [7193 .. 7350].
1229717784(494c0118) --- [7351 .. 7511].
1229717785(494c0119) --- [7512 .. 7675].
1229717786(494c011a) --- [7676 .. 7843].
1229717787(494c011b) --- [7844 .. 8015].
1229717788(494c011c) --- [8016 .. 8191].
1229717789(494c011d) --- [8192 .. 8370].
1229717790(494c011e) --- [8371 .. 8553].
1229717791(494c011f) --- [8554 .. 8741].
1229717792(494c0120) --- [8742 .. 8932].
1229717793(494c0121) --- [8933 .. 9128].
1229717794(494c0122) --- [9129 .. 9327].
1229717795(494c0123) --- [9328 .. 9532].
1229717796(494c0124) --- [9533 .. 9740].
1229717797(494c0125) --- [9741 .. 9954].
1229717798(494c0126) --- [9955 .. 10172].
1229717799(494c0127) --- [10173 .. 10395].
1229717800(494c0128) --- [10396 .. 10622].
1229717801(494c0129) --- [10623 .. 10855].
1229717802(494c012a) --- [10856 .. 11093].
1229717803(494c012b) --- [11094 .. 11335].
1229717804(494c012c) --- [11336 .. 11584].
1229717805(494c012d) --- [11585 .. 11837].
1229717806(494c012e) --- [11838 .. 12097].
1229717807(494c012f) --- [12098 .. 12362].
1229717808(494c0130) --- [12363 .. 12632].
1229717809(494c0131) --- [12633 .. 12909].
1229717810(494c0132) --- [12910 .. 13192].
1229717811(494c0133) --- [13193 .. 13481].
1229717812(494c0134) --- [13482 .. 13776].
1229717813(494c0135) --- [13777 .. 14077].
1229717814(494c0136) --- [14078 .. 14386].
1229717815(494c0137) --- [14387 .. 14701].
1229717816(494c0138) --- [14702 .. 15023].
1229717817(494c0139) --- [15024 .. 15352].
1229717818(494c013a) --- [15353 .. 15688].
1229717819(494c013b) --- [15689 .. 16031].
1229717820(494c013c) --- [16032 .. 16383].
1229717821(494c013d) --- [16384 .. 16741].
1229717822(494c013e) --- [16742 .. 17108].
1229717823(494c013f) --- [17109 .. 17483].
